# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6912
#@/user_id	aae06e7b-1c87-4f88-82f7-00d22f8468fb
a 	啊	c=11 d=0.0676654 t=6912
a a a a 	啊啊啊啊	c=0 d=9.44524e-07 t=6912
a a a a a a 	啊啊啊啊啊啊	c=0 d=9.44524e-07 t=6912
a li 	阿里	c=0 d=1.19555e-14 t=6912
a li yun 	阿里雲	c=1 d=1.20154e-13 t=6912
ai 	愛	c=1 d=1.01387e-15 t=6912
an 	按	c=1 d=0.00272578 t=6912
an quan 	安全	c=4 d=9.93222e-05 t=6912
an quan mi yao 	安全密鑰	c=1 d=4.38384e-05 t=6912
an quan qi dong 	安全啓動	c=1 d=3.23143e-05 t=6912
an quan xing 	安全性	c=1 d=2.13015e-14 t=6912
an zhao 	按照	c=1 d=1.45321e-15 t=6912
an zhuang 	安裝	c=4 d=8.00856e-07 t=6912
an zhuang ci ku 	安裝詞庫	c=1 d=8.0487e-06 t=6912
ba 	吧	c=1 d=0.00891728 t=6912
ba 	把	c=7 d=5.66026e-05 t=6912
ba gu wen 	八股文	c=1 d=0.0165727 t=6912
bai du 	百度	c=0 d=1.07101e-14 t=6912
bai du wang pan 	百度網盤	c=1 d=1.07638e-13 t=6912
ban 	半	c=1 d=0.0136366 t=6912
ban 	板	c=1 d=2.47277e-05 t=6912
ban ben 	版本	c=2 d=7.7518e-06 t=6912
ban ben hao 	版本號	c=1 d=7.67467e-05 t=6912
ban ben xin xi 	版本信息	c=1 d=7.79066e-05 t=6912
ban gong 	辦公	c=1 d=1.17775e-13 t=6912
ban ma 	斑馬	c=0 d=1.94611e-07 t=6912
ban ma de 	斑馬的	c=1 d=5.17115e-07 t=6912
ban ma shou yi 	斑馬獸醫	c=2 d=1.48256e-06 t=6912
ban yi dao 	搬移到	c=1 d=3.58297e-14 t=6912
ban zhu ren 	班主任	c=1 d=1.68782e-11 t=6912
bang ding 	綁定	c=1 d=0.000144603 t=6912
bang wo 	幫我	c=1 d=0.000283018 t=6912
bang zhu 	幫助	c=1 d=0.136695 t=6912
bao 	包	c=2 d=3.78134e-09 t=6912
bao 	報	c=1 d=0.000190664 t=6912
bao chi 	保持	c=1 d=0.00437178 t=6912
bao chi qi 	保持其	c=1 d=0.0439369 t=6912
bao cun 	保存	c=1 d=6.50841e-08 t=6912
bao cun le 	保存了	c=1 d=6.54104e-07 t=6912
bao cuo 	報錯	c=1 d=3.73786e-10 t=6912
bao dao 	報道	c=4 d=0.000425069 t=6912
bao dao zheng 	報道證	c=3 d=0.000342137 t=6912
bao gao 	報告	c=0 d=9.54016e-07 t=6912
bao han le 	包含了	c=3 d=0.000109471 t=6912
